label_file,num_players,num_balls,num_heads,reason
Header/h1/Header_h1_f000042_t0.700.txt,16,1,13,ball_larger_than_head
Header/h1/Header_h1_f000048_t0.800.txt,15,1,12,ball_larger_than_head
Header/h1/Header_h1_f000060_t1.000.txt,13,1,10,ball_larger_than_head
Header/h1/Header_h1_f000084_t1.400.txt,12,1,9,ball_larger_than_head
Header/h1/Header_h1_f000108_t1.800.txt,13,1,10,ball_larger_than_head
Header/h1/Header_h1_f000156_t2.600.txt,12,1,11,ball_larger_than_head
Header/h1/Header_h1_f000216_t3.600.txt,10,1,9,ball_larger_than_head
Header/h1/Header_h1_f000222_t3.700.txt,11,1,8,ball_larger_than_head
Header/h1/Header_h1_f000246_t4.100.txt,13,1,11,ball_larger_than_head
Header/h1/Header_h1_f000252_t4.200.txt,13,1,11,ball_larger_than_head
Header/h1/Header_h1_f000258_t4.300.txt,12,1,10,ball_larger_than_head
Header/h1/Header_h1_f000276_t4.600.txt,10,1,9,ball_larger_than_head
Header/h1/Header_h1_f000282_t4.700.txt,10,1,9,ball_larger_than_head
Header/h10/Header_h10_f000000_t0.000.txt,3,1,3,ball_larger_than_head
Header/h10/Header_h10_f000006_t0.100.txt,3,1,3,ball_larger_than_head
Header/h10/Header_h10_f000054_t0.900.txt,16,0,0,many_players_zero_heads
Header/h10/Header_h10_f000060_t1.000.txt,14,0,0,many_players_zero_heads
Header/h10/Header_h10_f000066_t1.100.txt,14,0,0,many_players_zero_heads
Header/h10/Header_h10_f000072_t1.200.txt,14,0,0,many_players_zero_heads
Header/h10/Header_h10_f000078_t1.300.txt,14,0,0,many_players_zero_heads
Header/h10/Header_h10_f000084_t1.400.txt,14,0,0,many_players_zero_heads
Header/h10/Header_h10_f000090_t1.500.txt,14,0,0,many_players_zero_heads
Header/h10/Header_h10_f000096_t1.600.txt,14,0,0,many_players_zero_heads
Header/h10/Header_h10_f000102_t1.700.txt,14,0,0,many_players_zero_heads
Header/h10/Header_h10_f000108_t1.800.txt,15,0,0,many_players_zero_heads
Header/h10/Header_h10_f000114_t1.900.txt,13,0,0,many_players_zero_heads
Header/h10/Header_h10_f000120_t2.000.txt,13,0,0,many_players_zero_heads
